id	iata	name	country	latitude	longitude
5	AAE	Rabah Bitat Airport 	Algeria	36.82406	7.8215694
13	AAM	Mala Mala Airport	South Africa	-24.815424	31.543955
34	ABJ	Port Bouet Airport 	Ivory Coast	5.2544694	-3.9296293
35	ABK	Kabri Dar Airport	Ethiopia	6.733082	44.242275
43	ABS	Abu Simbel Airport	Egypt	22.367252	31.610336
46	ABV	Nnamdi Azikiwe International Airport	Nigeria	9.004025	7.2690525
53	ACC	Kotoka International Airport	Ghana	5.6060953	-0.1681235
75	ADD	Bole International Airport	Ethiopia	8.980069	38.79893
102	AEH	Abéché Airport	Chad	13.844667	20.849396
128	AGA	Agadir–Al Massira Airport	Morocco	30.327028	-9.4128895
165	AHU	Cherif Al Idrissi Airport	Morocco	0	0
196	AJN	Ouani Airport	Comoros	-12.133332	44.429672
206	AKF	Kufra Airport	Libya	24.176666	23.313334
232	ALG	Houari Boumediene Airport	Algeria	36.697525	3.2067833
249	ALY	El Nouzha Airport	Egypt	31.192316	29.953056
258	AMH	Arba Minch Airport	Ethiopia	6.0404453	37.58893
274	AMY	Ambatomainty Airport	Madagascar	0	0
286	ANM	Antsirabato Airport	Madagascar	-14.998869	50.320316
326	APL	Nampula Airport	Mozambique	-15.1075325	39.28382
359	ARK	Arusha Airport	Tanzania	-3.3672488	36.624912
374	ASA	Assab International Airport	Eritrea	13.071139	42.645916
386	ASM	Asmara International Airport	Eritrea	15.285	38.90167
388	ASO	Asosa Airport	Ethiopia	10.023081	34.57845
394	ASV	Amboseli Airport	Kenya	-2.6456487	37.24872
395	ASW	Aswan International Airport	Egypt	23.966442	32.824474
400	ATB	Atbara Airport	Sudan	17.708649	34.057182
416	ATR	Atar International Airport	Mauritania	20.499443	-13.046389
424	ATZ	Assiut Airport	Egypt	27.050007	31.015408
489	AXU	Axum Airport	Ethiopia	14.144398	38.774773
519	AZR	Touat-Cheikh Sidi Mohamed Belkebir Airport	Algeria	27.841246	-0.1880881
555	BBK	Kasane Airport	Botswana	-17.8306	25.16372
